,predicted_label
0,1
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,0
459,1
